fecha_hora,indice_uv,nivel,fase
2026-06-23 18:05:49,0.1,BAJO,ambiente
2026-06-23 18:05:51,0.2,BAJO,ambiente
2026-06-23 18:05:53,0.1,BAJO,ambiente
2026-06-23 18:05:55,0.2,BAJO,ambiente
2026-06-23 18:05:57,0.2,BAJO,ambiente
2026-06-23 18:05:59,0.1,BAJO,ambiente
2026-06-23 18:06:02,0.4,BAJO,ambiente
2026-06-23 18:06:04,0.8,BAJO,ambiente
2026-06-23 18:06:07,0.7,BAJO,ambiente
2026-06-23 18:06:08,0.6,BAJO,ambiente
2026-06-23 18:06:11,0.7,BAJO,ambiente
2026-06-23 18:06:12,0.6,BAJO,ambiente
2026-06-23 18:06:15,0.0,BAJO,ambiente
2026-06-23 18:06:16,0.5,BAJO,ambiente
2026-06-23 18:06:19,0.5,BAJO,ambiente
2026-06-23 18:06:20,0.3,BAJO,ambiente
2026-06-23 18:06:23,0.0,BAJO,ambiente
2026-06-23 18:06:24,0.1,BAJO,ambiente
2026-06-23 18:06:27,0.0,BAJO,ambiente
2026-06-23 18:06:28,0.0,BAJO,ambiente
2026-06-23 18:06:31,0.0,BAJO,ambiente
2026-06-23 18:06:32,0.6,BAJO,ambiente
2026-06-23 18:06:34,0.2,BAJO,ambiente
2026-06-23 18:06:36,0.2,BAJO,ambiente
2026-06-23 18:06:38,0.3,BAJO,ambiente
2026-06-23 18:06:40,0.3,BAJO,ambiente
2026-06-23 18:06:42,0.2,BAJO,ambiente
2026-06-23 18:06:44,0.7,BAJO,ambiente
2026-06-23 18:06:46,0.6,BAJO,ambiente
2026-06-23 18:06:48,1.0,BAJO,ambiente
2026-06-23 18:06:50,0.8,BAJO,ambiente
2026-06-23 18:06:53,0.4,BAJO,ambiente
2026-06-23 18:06:54,1.2,BAJO,ambiente
2026-06-23 18:06:57,0.9,BAJO,ambiente
2026-06-23 18:06:58,0.4,BAJO,ambiente
2026-06-23 18:07:00,0.3,BAJO,ambiente
2026-06-23 18:07:02,0.0,BAJO,ambiente
2026-06-23 18:07:05,0.5,BAJO,ambiente
2026-06-23 18:07:06,0.3,BAJO,ambiente
2026-06-23 18:07:08,0.4,BAJO,ambiente
2026-06-23 18:07:10,0.4,BAJO,ambiente
2026-06-23 18:07:13,0.3,BAJO,ambiente
2026-06-23 18:07:14,0.4,BAJO,ambiente
2026-06-23 18:07:17,0.6,BAJO,ambiente
2026-06-23 18:07:19,0.9,BAJO,ambiente
2026-06-23 18:07:20,0.1,BAJO,ambiente
2026-06-23 18:07:22,0.0,BAJO,ambiente
2026-06-23 18:07:25,0.0,BAJO,ambiente
2026-06-23 18:07:27,0.0,BAJO,ambiente
2026-06-23 18:07:29,0.3,BAJO,ambiente
2026-06-23 18:07:30,0.1,BAJO,ambiente
2026-06-23 18:07:36,0.0,BAJO,ambiente
2026-06-23 18:07:37,0.0,BAJO,ambiente
2026-06-23 18:07:45,0.0,BAJO,ambiente
2026-06-23 18:07:48,0.3,BAJO,ambiente
2026-06-23 18:07:50,2.3,BAJO,exposicion
2026-06-23 18:07:52,3.9,MODERADO,exposicion
